"nr";"GEMMA-naam";"GGM-naam";"GEMMA-guid";"GGM-guid";"GEMMA-type";"GGM-uml-type";"GEMMA-definitie";"GGM-definitie";"GEMMA-toelichting";"GGM-toelichting";"GEMMA-source-guid";"GGM-source-guid";"GEMMA-target-guid";"GGM-target-guid";"Datum-tijd-export"
"44";"";"";"3d2a27da-4df0-42fd-a19d-0a74a3c20e63";"EAID_A589113E_6865_4318_9B25_A339169D7B02";"specialization-relationship";"generalization";"";"";"";"";"d0eb8d8b-25c9-4eef-9dc6-4a773d8899a7";"EAID_7B9EDDFD_57F7_4ff2_938F_FDFA3B503DA8";"c5e5f4f9-5bb6-4a9f-816b-e41abc770e86";"EAID_CA19D17F_3EB7_459d_9883_16F0C0B5D35E";"09072026-00:43:48"
"45";"";"";"f5f94646-0dd8-4c12-84dc-f4cc0fd95ff3";"EAID_95BB643E_8174_4680_9551_3503B188F7AC";"specialization-relationship";"generalization";"";"";"";"";"db373678-134a-4333-9d49-e86faf5ce531";"EAID_5772BEBB_97FA_42a9_B70D_DB55EAD6D1EE";"c5e5f4f9-5bb6-4a9f-816b-e41abc770e86";"EAID_CA19D17F_3EB7_459d_9883_16F0C0B5D35E";"09072026-00:43:48"
"46";"";"";"";"EAID_37D02D26_7ADF_4bd4_8F62_682F2E943C29";"association-relationship";"abstraction";"";"";"";"";"378dab8d-1135-40b8-9ed5-3591a89c75c2";"EAID_440219A4_C64B_4eac_ADE5_E79ED6AA9BFE";"10eaa33f-03bf-42b4-9310-56add2cb5a7b";"EAID_5641C50A_C0FA_4e71_B07B_26C7B1CE94ED";"09072026-00:43:48"
"47";"";"";"";"EAID_8CEB0C48_F21B_4f40_8937_DC4D44E8E1E6";"specialization-relationship";"generalization";"";"";"";"";"";"EAID_43D57BB8_C2E4_4b5a_A41C_C5CEC9D3877D";"44f31c7d-6347-4e52-a809-c48563f4b7f1";"EAID_E9AEF0A9_11BC_4d2a_BC48_FB77F04EF9A6";"09072026-00:43:48"
"48";"";"";"";"EAID_7D24D0DE_BD63_4306_AB96_5C927A98D923";"specialization-relationship";"generalization";"";"";"";"";"";"EAID_FF9A4A36_6674_4590_BC33_7B6DC5256490";"44f31c7d-6347-4e52-a809-c48563f4b7f1";"EAID_E9AEF0A9_11BC_4d2a_BC48_FB77F04EF9A6";"09072026-00:43:48"
"49";"";"";"b937f4d7-23bf-4789-bcb9-dbfd5c8221d7";"EAID_542C097B_D8CF_4ee5_B454_7F99D9AE078B";"specialization-relationship";"generalization";"";"";"";"";"f94b299a-c9eb-4bdb-82e7-5752360494cd";"EAID_C29CCD49_04E2_44b4_A6B0_AD8B10552628";"10eaa33f-03bf-42b4-9310-56add2cb5a7b";"EAID_5641C50A_C0FA_4e71_B07B_26C7B1CE94ED";"09072026-00:43:48"
"50";"";"";"";"EAID_4D77D7A7_D33D_4ed9_B3A5_352278A94E0F";"specialization-relationship";"generalization";"";"";"";"";"d4b0a5ba-7c38-44eb-8856-e3cb971dca37";"EAID_E9AD325A_49CF_48a6_AA9E_7FB57E03E414";"cad45b80-14d3-4a0c-a906-0c1614dc9570";"EAID_9DF5AC43_3673_4b9a_BB5E_6DCA7BE28835";"09072026-00:43:48"
"51";"";"";"b8bf9d68-4e20-4662-b136-fa3a4bc3043e";"EAID_1D2BDC1C_B6D7_47d0_9B5D_4E6E46B906A6";"specialization-relationship";"generalization";"";"";"";"";"51d717fc-7e1e-466e-92eb-58c3d8b225d7";"EAID_80F23226_8DD8_4926_B8F1_F2A3C01A29BF";"f14fa1cf-f2c7-4bd6-862d-28ff1616a882";"EAID_8E6BAEF8_1878_400f_9244_23575BD41EAB";"09072026-00:43:48"
"52";"";"";"a7f33c43-f77c-4fda-b584-7225c684277d";"EAID_ADE64570_57AC_49f0_95C2_75C54F38437A";"specialization-relationship";"generalization";"";"";"";"";"f10ba880-2051-4fd8-8495-f34f1a617dc0";"EAID_44B26957_BAA4_41c2_ABBF_CC1AC91D30D6";"f14fa1cf-f2c7-4bd6-862d-28ff1616a882";"EAID_8E6BAEF8_1878_400f_9244_23575BD41EAB";"09072026-00:43:48"
"53";"";"";"";"EAID_0145CDE7_919F_46a8_8B31_93091CA9EA58";"specialization-relationship";"generalization";"";"";"";"";"";"EAID_192EA281_414F_4d8d_85D1_5C1B75224942";"f10ba880-2051-4fd8-8495-f34f1a617dc0";"EAID_44B26957_BAA4_41c2_ABBF_CC1AC91D30D6";"09072026-00:43:48"
"54";"";"";"";"EAID_7E1FC35B_0CFF_42a9_9A67_D312692BA0E7";"specialization-relationship";"generalization";"";"";"";"";"";"EAID_EAC249B9_13F7_472b_A971_05ED32006F04";"f10ba880-2051-4fd8-8495-f34f1a617dc0";"EAID_44B26957_BAA4_41c2_ABBF_CC1AC91D30D6";"09072026-00:43:48"
