"diagram_guid";"diagram_naam";"beleidsdomein_guid";"beleidsdomein_naam";"taakveld";"aantal_entiteiten"
"EAID_9060F49C_F450_4693_A636_0E1384D677AE";"Schuldhulp Hoofdlijnen";"EAPK_B9861718_A0E9_4f16_B9CE_F1A09D0AD642";"Schuldhulpverlening";"6 Sociaal Domein";"5"
"EAID_752DF3AE_43AC_4165_8FCD_FDDE73075872";"Schuldhulp Schuldhulporganisatie";"EAPK_B9861718_A0E9_4f16_B9CE_F1A09D0AD642";"Schuldhulpverlening";"6 Sociaal Domein";"11"
"EAID_BBE1A03C_2D40_48cb_91AE_EF630304F490";"Schuldhulpproces";"EAPK_B9861718_A0E9_4f16_B9CE_F1A09D0AD642";"Schuldhulpverlening";"6 Sociaal Domein";"22"
"EAID_6ABF0362_0B28_444d_AFA4_F96C1461BB4B";"Semantische relaties";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"5"
"EAID_5AE29494_3572_4924_B2B8_3206E55D71BB";"Sociaal Domein Beschikking en Voorziening: Domain Objects";"EAPK_189DA897_DDC8_4956_B8E3_5E04D3E1AEA3";"Generiek Jeugd en Wmo";"6 Sociaal Domein";"28"
"EAID_FD6966FF_E4FC_437d_983E_71B33445A62C";"Sociaal Domein Domain";"EAPK_4F047F89_F482_48c9_810A_EC0B55B40AEE";"Sociaal Domein Generiek";"6 Sociaal Domein";"4"
"EAID_69607C8F_8048_4516_BE75_80C681DFEAC0";"Sociale Relaties";"EAPK_4F047F89_F482_48c9_810A_EC0B55B40AEE";"Sociaal Domein Generiek";"6 Sociaal Domein";"5"
"EAID_50F1F1BC_5866_45b9_A062_4C41F0C7766C";"Sociale team:Domeinmodel";"EAPK_AD5F9E9A_447A_43a0_A356_9913F19AB555";"Sociale Teams";"6 Sociaal Domein";"16"
"EAID_542C38C9_B92F_48de_87F1_F90F64FB5913";"Sollicitaties";"EAPK_1825F01E_BA3C_4e53_B3B3_BD1E69F94A10";"HR";"9 Interne Organisatie";"7"
"EAID_452D6E60_0252_41e4_B40A_578346C2010D";"Soorten grootte referenties";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"2"
"EAID_9F13A2F1_2BB7_4cd3_AA61_E2FB89D48209";"Subject";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"2"
"EAID_ACD61AD1_1B3D_46aa_96E7_F438387BE495";"Subsidie en Kostenplaats";"EAPK_F079A58E_FB65_422e_BA86_5E810092E5E5";"Subsidies";"9 Interne Organisatie";"6"
"EAID_F408BDED_51D4_4204_9B95_F0C6C2474DC3";"Subsidies";"EAPK_F079A58E_FB65_422e_BA86_5E810092E5E5";"Subsidies";"9 Interne Organisatie";"15"
"EAID_BAB7CC48_0969_4064_98B6_6C4F51207155";"TENAAMSTELLING";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"5"
"EAID_224C01A6_60E9_4eed_A869_90E9F9412C4E";"TUNNELDEEL";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"2"
"EAID_5A24808B_6B68_44ee_A920_9E1DF704CCDA";"Tekenwijze";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"8"
"EAID_9954AB09_9924_4152_AFE2_55EDC153747C";"Tenaamstelling";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"2"
